nome,preco,oferta,categoria,data_ini,data_fim,source,date,supermarket,tablode_link,supermarket_latitude,supermarket_longitude,gramagem
Lenço umedecido Piquitucho,19.9,,Higiene Infantil,13/09/2024,26/09/2024,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,4 pacotes
Fralda Piquitucho Mega,21.9,,Fraldas,13/09/2024,26/09/2024,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,"Tamanho M, 34 unidades"
Fralda Babysec Ultra Mega,53.49,"Leve 3, Pague 2",Fraldas,13/09/2024,26/09/2024,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,Tamanhos M e XG
Lava-roupas líquido Omo Roupas finas & delicadas,18.9,,Limpeza,13/09/2024,26/09/2024,32716ea7c07b111e6400b5d36fe144250fd97d52-0001.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,900ml
Fralda Turma da Mônica Baby Giga,99.9,"Leve 3 pague 2, cada uma sai por 66,60",Fraldas,13/09/2024,26/09/2024,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Fralda Babysec Shortinho,,50% de desconto na 2ª unidade do mesmo produto,Fraldas,13/09/2024,26/09/2024,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Lenço umedecido Pampers Aloe vera/Splash,39.39,Leve 4 Pague 3,Higiene Infantil,13/09/2024,26/09/2024,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Linha de higiene infantil Pom Pom,,25% de desconto,Higiene Infantil,13/09/2024,26/09/2024,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Fralda Pampers Pants,113.9,20% de desconto,Fraldas,13/09/2024,26/09/2024,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Fralda Pampers Supersec Jumbo,148.9,20% de desconto,Fraldas,13/09/2024,26/09/2024,753d6395f62f81ec7c7826e1ac9a25b13e61d8d0-0002.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Fralda shorts Piquitucho,20.9,,Fraldas,13/09/2024,26/09/2024,51021faed62c3b65e772d6d52586f36dc07e2afa-0003.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Shampoo Baruel,,50% de desconto na 2ª unidade,Higiene,13/09/2024,26/09/2024,51021faed62c3b65e772d6d52586f36dc07e2afa-0003.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Fralda Personal Baby Pants Premium,107.39,30% de desconto,Fraldas,13/09/2024,26/09/2024,51021faed62c3b65e772d6d52586f36dc07e2afa-0003.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Fralda Personal Baby Pants Mega,75.69,30% de desconto,Fraldas,13/09/2024,26/09/2024,51021faed62c3b65e772d6d52586f36dc07e2afa-0003.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Sabonete líquido Granado Bebê,17.35,,Higiene,13/09/2024,26/09/2024,51021faed62c3b65e772d6d52586f36dc07e2afa-0003.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Fralda-calça MamyPoko,90.99,Leve 3 Pague 2,Fraldas,13/09/2024,26/09/2024,51021faed62c3b65e772d6d52586f36dc07e2afa-0003.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Lenço umedecido MamyPoko,25.9,,Higiene,13/09/2024,26/09/2024,51021faed62c3b65e772d6d52586f36dc07e2afa-0003.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Sabonete Carrefour My Baby,2.89,,Higiene,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,90g
Sabonete líquido Carrefour My Baby,5.99,,Higiene,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,200ml
Lenço umedecido Carrefour My Baby,19.99,Leve 4 Pague 3,Higiene,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,48 unidades
Escova dental infantil Oral-B Mickey,19.9,,Higiene Bucal,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,4 unidades
Creme ou gel dentais Oral-B Kids,8.29,50% de desconto na 2ª unidade,Higiene Bucal,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,50g
Kit shampoo + condicionador Trá Lá Lá Kids,19.9,,Higiene,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,480ml
Curativos Band-Aid,,20% de desconto,Cuidados,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,10/40 unidades
Linha Pampers O Boticário,,20% de desconto,Higiene,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
"Shampoos, condicionadores e creme para pentear Seda Juntinhos",,50% de desconto na 2ª unidade,Higiene,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
"Linha de sabonetes líquidos, shampoos e condicionadores Dove Baby",,50% de desconto na 2ª unidade,Higiene,13/09/2024,26/09/2024,13ea1a4e5df543412bfa570b7db7fddc7098d22c-0004.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Gel dental Colgate Tandy,8.99,Leve 3 Pague 2,Higiene Bucal,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,50g
Escova dental Colgate Tandy,10.99,20% de desconto,Higiene Bucal,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,2 unidades
Sabonetes em barra ou líquidos Palmolive Kids,,Leve 3 Pague 2,Higiene Pessoal,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Toda a linha Protex Baby,,Leve 3 Pague 2,Higiene Infantil,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Cremes para assaduras Hipoglós,,30% de desconto,Cuidados com a Pele,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Shampoo ou Condicionador Palmolive Kids,,50% de desconto na 2ª unidade,Higiene Infantil,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Loção Johnson's Baby Antimosquito,70.29,30% de desconto,Cuidados com a Pele,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,200ml
Loção hidratante Johnson's Baby,35.19,30% de desconto,Cuidados com a Pele,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,200ml
Óleo Johnson's Baby,53.19,30% de desconto,Cuidados com a Pele,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,200ml
Refis de sabonetes líquidos Johnson's,,20% de desconto,Higiene Pessoal,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Condicionadores Johnson's,,20% de desconto,Higiene Infantil,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,200ml/400ml
Lenço umedecido Johnson's Limpeza e suavidade,11.99,,Higiene Infantil,13/09/2024,26/09/2024,4243259276e09e3711a39f70b57f1193b216de2a-0005.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,44 unidades
Composto lácteo Ninho Fases Nestlé 1+,42.9,True,Leite em pó,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,800g
Composto lácteo Ninho Fases Nestlé 3+,42.9,True,Leite em pó,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,800g
Composto lácteo Nestonutri Nestlé,42.99,True,Leite em pó,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,800g
Fórmula infantil Nanlac Confor Nestlé,55.35,True,Fórmula infantil,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,800g
Composto lácteo Neslac Confor Nestlé,49.9,True,Leite em pó,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,800g
Mingau Maizena Sabores,5.65,True,Mingau,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,180g
Mingau Cremogema Maizena Tradicional,9.99,True,Mingau,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,380g
Mingau Cremogema Maizena Tradicional,12.85,True,Mingau,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,550g
Cereal Mucilon Nestlé Sabores,6.69,True,Cereal infantil,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,180g
Cereal Mucilon Nestlé Sabores,13.4,True,Cereal infantil,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,400g
Cereal Mucilon Nestlé Multicereais/Arroz e aveia,19.6,True,Cereal infantil,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,600g
Biscoito Infantil Mucilon Nestlé Sabores,2.99,True,Biscoito infantil,13/09/2024,26/09/2024,9370280fe57d65ae79a4bb9f6ab7b727485fc68c-0006.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,35g
"Lava-roupas em pó Casa KM Roupas delicadas, Coco",20.69,True,Lavanderia,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,400g
Lava-roupas líquido Ola Fragrâncias,11.39,True,Lavanderia,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,500ml
Lava-roupas líquido Ola Tipos,20.6,True,Lavanderia,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,1 litro
Amaciante Soft Plus Bebê Fragrâncias,6.69,True,Lavanderia,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,500ml
Loção repelente Off! Baby,29.79,True,Cuidados com o bebê,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,117g
Caixa organizadora Agraplast,16.19,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,6 litros
Caixa organizadora Stylo Cristal,29.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,20 litros
Caixa organizadora Stylo Agraplast,44.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,30 litros
"Cesta organizadora Lilly Carrefour, Sortida",14.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,4 litros
"Cesta organizadora Lilly Carrefour, Sortida",34.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,22 litros
"Caixa organizadora Gran Plastútil, Cristal",24.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,"5,2 litros"
"Caixa organizadora Gran Plastútil, Cristal",44.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,"19,8 litros"
Caixa organizadora Gran Plastútil Cristal,53.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,29 litros
Conjunto de cabides infantis Carrefour,9.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,10 unidades
Conjunto de cabides infantis de madeira Carrefour,10.99,True,Organização,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,3 unidades
Colchão Physical Baby Ortobom,159.9,True,Móveis,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,60x130x10cm
Colchão Physical Baby Ortobom,179.9,True,Móveis,13/09/2024,26/09/2024,68094e853ef232f56ba5bdff213161dd0135bcfa-0007.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,70x130x10cm
Body básico manga longa ou curta Licenciado,19.99,A partir de,Roupas de bebê,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Body fantasia Licenciado ou Tex,19.99,A partir de,Roupas de bebê,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Macacão longo Licenciado ou Tex,45.99,A partir de,Roupas de bebê,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Body básico manga longa ou curta Tex,19.99,A partir de,Roupas de bebê,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Mantas,,20% de desconto,Acessórios de bebê,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Tapete interativo Ibimboo,129.99,,Brinquedos,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Assento redutor Styll,10.99,,Acessórios de banheiro,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Assento para auto booster Multikids,99.99,,Cadeiras de auto,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Cadeira para auto Trio,299.0,,Cadeiras de auto,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Cadeira para auto Kalle,389.0,,Cadeiras de auto,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Cadeira para auto Trio Personagens Mickey/Minnie,369.0,,Cadeiras de auto,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
Cadeira para auto Kalle Disney Personagens Mickey/Minnie,459.0,,Cadeiras de auto,13/09/2024,26/09/2024,1332e30ce324f846caad3f2a03289760072b7cef-0008.jpeg,2024_09_21,Carrefour Hiper Brasilia Sul,https://www.carrefour.com.br/folheto-digital/mundo-beb%C3%AA/BSB/152147,-15.825589249512372,-47.93124294310815,
